Fecha (dd/mm/aaaa),Tasa de cambio representativa del mercado (TRM)
"27/11/1991,""$ 693,32"""
"28/11/1991,""$ 693,99"""
"29/11/1991,""$ 694,70"""
"30/11/1991,""$ 694,70"""
"01/12/1991,""$ 643,42"""
"02/12/1991,""$ 643,42"""
"03/12/1991,""$ 639,22"""
"04/12/1991,""$ 635,70"""
"05/12/1991,""$ 631,51"""
"06/12/1991,""$ 627,16"""
"07/12/1991,""$ 638,06"""
"08/12/1991,""$ 638,06"""
"09/12/1991,""$ 638,06"""
"10/12/1991,""$ 622,92"""
"11/12/1991,""$ 627,46"""
"12/12/1991,""$ 633,09"""
"13/12/1991,""$ 632,35"""
"14/12/1991,""$ 630,91"""
"15/12/1991,""$ 630,91"""
"16/12/1991,""$ 630,91"""
"17/12/1991,""$ 626,23"""
"18/12/1991,""$ 626,52"""
"19/12/1991,""$ 633,35"""
"20/12/1991,""$ 621,71"""
"21/12/1991,""$ 620,62"""
"22/12/1991,""$ 620,62"""
"23/12/1991,""$ 620,62"""
"24/12/1991,""$ 622,95"""
"25/12/1991,""$ 622,95"""
"26/12/1991,""$ 622,95"""
"27/12/1991,""$ 631,63"""
"28/12/1991,""$ 632,37"""
"29/12/1991,""$ 632,37"""
"30/12/1991,""$ 632,37"""
"31/12/1991,""$ 632,37"""
"01/01/1992,""$ 632,37"""
"02/01/1992,""$ 638,61"""
"03/01/1992,""$ 632,58"""
"04/01/1992,""$ 638,07"""
"05/01/1992,""$ 638,07"""
"06/01/1992,""$ 638,07"""
